0,100,instacart,instacart
1,101,instacart,instacart
2,102,instacart,instacart
3,103,instacart,dunnhumby
4,104,instacart,instacart
5,105,dunnhumby,dunnhumby
6,106,dunnhumby,dunnhumby
7,107,instacart,instacart
8,108,dunnhumby,instacart
9,109,dunnhumby,instacart
10,110,instacart,dunnhumby
11,111,instacart,instacart
12,112,instacart,instacart
13,113,instacart,instacart
14,114,instacart,instacart
15,115,instacart,instacart
16,116,dunnhumby,instacart
17,117,instacart,instacart
18,118,instacart,instacart
19,119,instacart,instacart
20,120,instacart,instacart
21,121,instacart,dunnhumby
22,122,instacart,instacart
23,123,dunnhumby,dunnhumby
24,124,dunnhumby,instacart
25,125,instacart,dunnhumby
26,126,instacart,dunnhumby
27,127,dunnhumby,dunnhumby
28,128,instacart,instacart
29,129,instacart,instacart
30,130,instacart,instacart
31,131,instacart,instacart
32,132,dunnhumby,dunnhumby
33,133,dunnhumby,dunnhumby
34,134,instacart,instacart
35,135,dunnhumby,dunnhumby
36,136,instacart,instacart
37,137,instacart,instacart
38,138,dunnhumby,instacart
39,139,dunnhumby,dunnhumby
40,140,instacart,instacart
41,141,instacart,instacart
42,142,instacart,instacart
43,143,instacart,instacart
44,144,dunnhumby,dunnhumby
45,145,instacart,instacart
46,146,instacart,instacart
47,147,dunnhumby,dunnhumby
48,148,instacart,instacart
49,149,instacart,instacart
50,150,instacart,dunnhumby
51,151,instacart,instacart
52,152,instacart,instacart
53,153,dunnhumby,dunnhumby
54,154,dunnhumby,instacart
55,155,instacart,instacart
56,156,dunnhumby,dunnhumby
57,157,instacart,instacart
58,158,instacart,instacart
59,159,instacart,instacart
60,160,dunnhumby,instacart
61,161,instacart,instacart
62,162,instacart,instacart
63,163,instacart,instacart
64,164,instacart,instacart
65,165,dunnhumby,instacart
66,166,instacart,instacart
67,167,instacart,dunnhumby
68,168,instacart,instacart
69,169,dunnhumby,dunnhumby
70,170,instacart,instacart
71,171,dunnhumby,instacart
72,172,instacart,instacart
73,173,dunnhumby,dunnhumby
74,174,instacart,instacart
75,175,instacart,instacart
76,176,instacart,instacart
77,177,dunnhumby,dunnhumby
78,178,dunnhumby,dunnhumby
79,179,dunnhumby,dunnhumby
80,180,instacart,instacart
81,181,dunnhumby,dunnhumby
82,182,instacart,instacart
83,183,instacart,instacart
84,184,instacart,instacart
85,185,instacart,instacart
86,186,instacart,instacart
87,187,instacart,instacart
88,188,instacart,instacart
89,189,dunnhumby,dunnhumby
90,190,instacart,instacart
91,191,instacart,instacart
92,192,dunnhumby,dunnhumby
93,193,instacart,instacart
94,194,instacart,instacart
95,195,dunnhumby,dunnhumby
96,196,instacart,instacart
97,197,instacart,instacart
98,198,dunnhumby,dunnhumby
99,199,dunnhumby,dunnhumby
